angle,x,y
-135.0,205.0,365.0
-135.0,202.0,362.0
-135.0,199.0,359.0
-135.0,196.0,356.0
-135.0,193.0,353.0
-135.0,190.0,350.0
-135.0,187.0,347.0
-135.0,184.0,344.0
-135.0,181.0,341.0
-135.0,178.0,338.0
-135.0,175.0,335.0
-135.0,172.0,332.0
-135.0,169.0,329.0
-135.0,166.0,326.0
-135.0,163.0,323.0
-135.0,160.0,320.0
-135.0,157.0,317.0
-135.0,154.0,314.0
-135.0,151.0,311.0
-135.0,148.0,308.0
-135.0,145.0,305.0
-135.0,142.0,302.0
-135.0,139.0,299.0
-135.0,136.0,296.0
-135.0,133.0,293.0
-135.0,130.0,290.0
-135.0,127.0,287.0
-135.0,124.0,284.0
-135.0,121.0,281.0
-135.0,118.0,278.0
-135.0,115.0,275.0
-135.0,112.0,272.0
-135.0,109.0,269.0
-135.0,106.0,266.0
-135.0,103.0,263.0
-135.0,100.0,260.0
-135.0,97.0,257.0
-135.0,94.0,254.0
-135.0,91.0,251.0
-135.0,88.0,248.0
-135.0,85.0,245.0
-135.0,82.0,242.0
-135.0,79.0,239.0
-135.0,76.0,236.0
-135.0,73.0,233.0
-135.0,70.0,230.0
-135.0,67.0,227.0
-135.0,64.0,224.0
-135.0,61.0,221.0
-135.0,58.0,218.0
-135.0,55.0,215.0
-135.0,52.0,212.0
-135.0,49.0,209.0
-135.0,46.0,206.0
-135.0,43.0,203.0
-135.0,40.0,200.0
-135.0,37.0,197.0
-135.0,34.0,194.0
-135.0,31.0,191.0
-135.0,28.0,188.0
-135.0,25.0,185.0
-135.0,22.0,182.0
-135.0,19.0,179.0
-135.0,16.0,176.0
-135.0,13.0,173.0
-135.0,10.0,170.0
-135.0,7.0,167.0
-45.0,4.0,164.0
-45.0,7.0,161.0
-45.0,10.0,158.0
-45.0,13.0,155.0
-45.0,16.0,152.0
-45.0,19.0,149.0
-45.0,22.0,146.0
-45.0,25.0,143.0
-45.0,28.0,140.0
-45.0,31.0,137.0
-45.0,34.0,134.0
-45.0,37.0,131.0
-45.0,40.0,128.0
-45.0,43.0,125.0
-45.0,46.0,122.0
-45.0,49.0,119.0
-45.0,52.0,116.0
-45.0,55.0,113.0
-45.0,58.0,110.0
-45.0,61.0,107.0
-45.0,64.0,104.0
-45.0,67.0,101.0
-45.0,70.0,98.0
-45.0,73.0,95.0
-45.0,76.0,92.0
-45.0,79.0,89.0
-45.0,82.0,86.0
-45.0,85.0,83.0
-45.0,88.0,80.0
-45.0,91.0,77.0
-45.0,94.0,74.0
-45.0,97.0,71.0
45.0,100.0,74.0
45.0,103.0,77.0
45.0,106.0,80.0
45.0,109.0,83.0
45.0,112.0,86.0
45.0,115.0,89.0
45.0,118.0,92.0
45.0,121.0,95.0
45.0,124.0,98.0
45.0,127.0,101.0
